2025-12-11 18:08:46,863 - INFO - Starting process: process_advances
2025-12-11 18:08:46,865 - INFO - Received advances process request
2025-12-11 18:11:26,112 - INFO - Saved combined Sales+Advances workbook to temp_uploads\48223d5c-ee8c-423b-a237-4f547e8b0a9a_advances_sales_combined.xlsx
2025-12-11 18:15:53,276 - DEBUG - Column 29 ('Cheque'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:15:59,413 - DEBUG - Column 30 ('PrepaidCard'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:05,684 - DEBUG - Column 31 ('OtherPayments'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:12,810 - DEBUG - Column 32 ('Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:20,631 - DEBUG - Column 33 ('MRPTOTAL'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:28,629 - DEBUG - Column 34 ('PinCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:36,946 - DEBUG - Column 35 ('WSDN'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:16:37,251 - DEBUG - Column 42 ('Online Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:43,489 - DEBUG - Column 43 ('Paytm'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:50,259 - DEBUG - Column 44 ('PayTM DQR'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:16:56,639 - DEBUG - Column 45 ('PayU Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:02,925 - DEBUG - Column 47 ('QC Wallet'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:09,249 - DEBUG - Column 49 ('Vouchagram'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:15,617 - INFO - Post-processing 'Advances': rows 2-386, cols 1-29
2025-12-11 18:17:15,639 - DEBUG - Column 1 ('Region'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:17:15,663 - DEBUG - Column 2 ('Store'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:17:15,690 - DEBUG - Column 3 ('Store Code'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:15,710 - DEBUG - Column 4 ('Order Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 18:17:15,767 - DEBUG - Column 5 ('Order Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:17:15,772 - DEBUG - Column 6 ('Last Bill Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 18:17:15,793 - DEBUG - Column 7 ('Bill Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:17:15,830 - DEBUG - Column 8 ('Customer Code'): numeric (date_frac=0.04, num_frac=1.00)
2025-12-11 18:17:15,859 - DEBUG - Column 9 ('Customer Name'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:17:15,887 - DEBUG - Column 10 ('No Of Items'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:15,918 - DEBUG - Column 11 ('Total Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:15,971 - DEBUG - Column 12 ('Approximate Value'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:16,024 - DEBUG - Column 13 ('Advance Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:16,075 - DEBUG - Column 14 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:16,118 - DEBUG - Column 15 ('Credit Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 18:17:16,178 - DEBUG - Column 16 ('Coupon'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,205 - DEBUG - Column 17 ('Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,235 - DEBUG - Column 18 ('GV'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,265 - DEBUG - Column 19 ('CCN'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,296 - DEBUG - Column 20 ('Points'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,324 - DEBUG - Column 21 ('Cheque'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,352 - DEBUG - Column 22 ('Prepaid Card'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,380 - DEBUG - Column 23 ('Temp Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 18:17:16,417 - DEBUG - Column 28 ('Balance Amount'): numeric (date_frac=0.02, num_frac=1.00)
2025-12-11 18:17:16,449 - DEBUG - Column 29 ('Status'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 18:18:10,445 - INFO - ✓ Post-processing complete: temp_uploads\48223d5c-ee8c-423b-a237-4f547e8b0a9a_advances_sales_combined.xlsx
