2025-12-11 17:23:22,925 - INFO - Starting process: process_advances
2025-12-11 17:23:22,926 - INFO - Received advances process request
2025-12-11 17:26:12,907 - INFO - Saved combined Sales+Advances workbook to temp_uploads\d8930657-5ad4-472f-ae88-87f18921ffa2_advances_sales_combined.xlsx
2025-12-11 17:31:55,400 - DEBUG - Column 34 ('PinCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:05,730 - DEBUG - Column 35 ('WSDN'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:06,178 - DEBUG - Column 42 ('Online Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:14,630 - DEBUG - Column 43 ('Paytm'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:23,588 - DEBUG - Column 44 ('PayTM DQR'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:31,874 - DEBUG - Column 45 ('PayU Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:40,456 - DEBUG - Column 47 ('QC Wallet'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:48,555 - DEBUG - Column 49 ('Vouchagram'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:56,740 - INFO - Post-processing 'Advances': rows 2-386, cols 1-29
2025-12-11 17:32:56,766 - DEBUG - Column 1 ('Region'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:56,797 - DEBUG - Column 2 ('Store'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:56,829 - DEBUG - Column 3 ('Store Code'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:56,851 - DEBUG - Column 4 ('Order Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:32:56,919 - DEBUG - Column 5 ('Order Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:56,924 - DEBUG - Column 6 ('Last Bill Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:32:56,956 - DEBUG - Column 7 ('Bill Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:56,998 - DEBUG - Column 8 ('Customer Code'): numeric (date_frac=0.04, num_frac=1.00)
2025-12-11 17:32:57,035 - DEBUG - Column 9 ('Customer Name'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:32:57,070 - DEBUG - Column 10 ('No Of Items'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,091 - DEBUG - Column 11 ('Total Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:57,157 - DEBUG - Column 12 ('Approximate Value'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:57,227 - DEBUG - Column 13 ('Advance Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:57,293 - DEBUG - Column 14 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:57,349 - DEBUG - Column 15 ('Credit Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:32:57,421 - DEBUG - Column 16 ('Coupon'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,460 - DEBUG - Column 17 ('Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,496 - DEBUG - Column 18 ('GV'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,530 - DEBUG - Column 19 ('CCN'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,566 - DEBUG - Column 20 ('Points'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,604 - DEBUG - Column 21 ('Cheque'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,644 - DEBUG - Column 22 ('Prepaid Card'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,681 - DEBUG - Column 23 ('Temp Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:32:57,727 - DEBUG - Column 28 ('Balance Amount'): numeric (date_frac=0.02, num_frac=1.00)
2025-12-11 17:32:57,762 - DEBUG - Column 29 ('Status'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:34:10,230 - INFO - ✓ Post-processing complete: temp_uploads\d8930657-5ad4-472f-ae88-87f18921ffa2_advances_sales_combined.xlsx
