2025-12-11 17:45:31,765 - INFO - Starting process: process_advances
2025-12-11 17:45:31,766 - INFO - Received advances process request
2025-12-11 17:47:59,858 - INFO - Saved combined Sales+Advances workbook to temp_uploads\4bdc752b-12d0-4c2a-a4a5-f096f52703d8_advances_sales_combined.xlsx
2025-12-11 17:51:18,101 - DEBUG - Column 16 ('Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:26,969 - DEBUG - Column 17 ('CreditCardType'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:51:27,202 - DEBUG - Column 18 ('Coupon'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:35,282 - DEBUG - Column 19 ('Credit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:43,371 - DEBUG - Column 20 ('InsuranceCredit'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:51,418 - DEBUG - Column 21 ('CashAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:51:59,403 - DEBUG - Column 22 ('CreditCardAdvance'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:07,496 - DEBUG - Column 23 ('AdvancedAmount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:15,489 - DEBUG - Column 24 ('GiftVoucher'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:24,167 - DEBUG - Column 25 ('CCNUsed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:33,893 - DEBUG - Column 26 ('CCNIssued'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:41,948 - DEBUG - Column 27 ('PointsAllocated'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:50,241 - DEBUG - Column 28 ('PointsRedeemed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:52:57,275 - DEBUG - Column 29 ('Cheque'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:04,194 - DEBUG - Column 30 ('PrepaidCard'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:12,307 - DEBUG - Column 31 ('OtherPayments'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:19,805 - DEBUG - Column 32 ('Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:28,425 - DEBUG - Column 33 ('MRPTOTAL'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:37,155 - DEBUG - Column 34 ('PinCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:45,961 - DEBUG - Column 35 ('WSDN'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:53:46,320 - DEBUG - Column 42 ('Online Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:53:53,214 - DEBUG - Column 43 ('Paytm'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:00,775 - DEBUG - Column 44 ('PayTM DQR'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:07,585 - DEBUG - Column 45 ('PayU Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:14,576 - DEBUG - Column 47 ('QC Wallet'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:21,381 - DEBUG - Column 49 ('Vouchagram'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,369 - INFO - Post-processing 'Advances': rows 2-386, cols 1-29
2025-12-11 17:54:29,390 - DEBUG - Column 1 ('Region'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:54:29,417 - DEBUG - Column 2 ('Store'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:54:29,446 - DEBUG - Column 3 ('Store Code'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:29,465 - DEBUG - Column 4 ('Order Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:54:29,524 - DEBUG - Column 5 ('Order Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:54:29,529 - DEBUG - Column 6 ('Last Bill Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 17:54:29,549 - DEBUG - Column 7 ('Bill Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:54:29,587 - DEBUG - Column 8 ('Customer Code'): numeric (date_frac=0.04, num_frac=1.00)
2025-12-11 17:54:29,618 - DEBUG - Column 9 ('Customer Name'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:54:29,647 - DEBUG - Column 10 ('No Of Items'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:29,665 - DEBUG - Column 11 ('Total Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,717 - DEBUG - Column 12 ('Approximate Value'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,775 - DEBUG - Column 13 ('Advance Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,832 - DEBUG - Column 14 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,879 - DEBUG - Column 15 ('Credit Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 17:54:29,943 - DEBUG - Column 16 ('Coupon'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:29,974 - DEBUG - Column 17 ('Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,005 - DEBUG - Column 18 ('GV'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,038 - DEBUG - Column 19 ('CCN'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,072 - DEBUG - Column 20 ('Points'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,111 - DEBUG - Column 21 ('Cheque'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,149 - DEBUG - Column 22 ('Prepaid Card'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,179 - DEBUG - Column 23 ('Temp Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 17:54:30,218 - DEBUG - Column 28 ('Balance Amount'): numeric (date_frac=0.02, num_frac=1.00)
2025-12-11 17:54:30,247 - DEBUG - Column 29 ('Status'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 17:56:07,883 - INFO - ✓ Post-processing complete: temp_uploads\4bdc752b-12d0-4c2a-a4a5-f096f52703d8_advances_sales_combined.xlsx
