2025-12-11 19:19:53,154 - INFO - Starting process: process_advances
2025-12-11 19:19:53,154 - INFO - Received advances process request
2025-12-11 19:30:38,742 - INFO - Saved combined Sales+Advances workbook to temp_uploads\791f93fc-88bc-41b1-8611-e50410f4e7ee_advances_sales_combined.xlsx
2025-12-11 19:35:10,492 - DEBUG - Column 28 ('PointsRedeemed'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:16,970 - DEBUG - Column 29 ('Cheque'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:23,198 - DEBUG - Column 30 ('PrepaidCard'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:29,494 - DEBUG - Column 31 ('OtherPayments'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:36,408 - DEBUG - Column 32 ('Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:44,326 - DEBUG - Column 33 ('MRPTOTAL'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:35:52,366 - DEBUG - Column 34 ('PinCode'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:00,219 - DEBUG - Column 35 ('WSDN'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:00,520 - DEBUG - Column 42 ('Online Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:06,818 - DEBUG - Column 43 ('Paytm'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:13,852 - DEBUG - Column 44 ('PayTM DQR'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:20,079 - DEBUG - Column 45 ('PayU Payment'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:26,304 - DEBUG - Column 47 ('QC Wallet'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:33,037 - DEBUG - Column 49 ('Vouchagram'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:39,483 - INFO - Post-processing 'Advances': rows 2-386, cols 1-29
2025-12-11 19:36:39,504 - DEBUG - Column 1 ('Region'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:39,528 - DEBUG - Column 2 ('Store'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:39,554 - DEBUG - Column 3 ('Store Code'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:39,571 - DEBUG - Column 4 ('Order Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 19:36:39,623 - DEBUG - Column 5 ('Order Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:39,628 - DEBUG - Column 6 ('Last Bill Date'): date (date_frac=1.00, num_frac=0.00)
2025-12-11 19:36:39,650 - DEBUG - Column 7 ('Bill Number'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:39,684 - DEBUG - Column 8 ('Customer Code'): numeric (date_frac=0.04, num_frac=1.00)
2025-12-11 19:36:39,713 - DEBUG - Column 9 ('Customer Name'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:36:39,739 - DEBUG - Column 10 ('No Of Items'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:39,755 - DEBUG - Column 11 ('Total Quantity'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:39,807 - DEBUG - Column 12 ('Approximate Value'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:39,860 - DEBUG - Column 13 ('Advance Amount'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:39,913 - DEBUG - Column 14 ('Cash'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:39,960 - DEBUG - Column 15 ('Credit Card'): date (date_frac=1.00, num_frac=1.00)
2025-12-11 19:36:40,018 - DEBUG - Column 16 ('Coupon'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,047 - DEBUG - Column 17 ('Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,077 - DEBUG - Column 18 ('GV'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,107 - DEBUG - Column 19 ('CCN'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,134 - DEBUG - Column 20 ('Points'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,162 - DEBUG - Column 21 ('Cheque'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,191 - DEBUG - Column 22 ('Prepaid Card'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,218 - DEBUG - Column 23 ('Temp Credit'): numeric (date_frac=0.00, num_frac=1.00)
2025-12-11 19:36:40,257 - DEBUG - Column 26 ('OtherPayments'): numeric (date_frac=0.03, num_frac=1.00)
2025-12-11 19:36:40,289 - DEBUG - Column 28 ('Balance Amount'): numeric (date_frac=0.02, num_frac=1.00)
2025-12-11 19:36:40,319 - DEBUG - Column 29 ('Status'): text (date_frac=0.00, num_frac=0.00)
2025-12-11 19:37:35,729 - INFO - ✓ Post-processing complete: temp_uploads\791f93fc-88bc-41b1-8611-e50410f4e7ee_advances_sales_combined.xlsx
